"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","100","1/Day","364.4749","3/1/2020 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","1000","1/Day","3161.2615","6/1/2021 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","500","1/Day","1608.5242","3/1/2020 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","400","1/Day","1309.1342","3/1/2020 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","300","1/Day","1004.1654","3/1/2020 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","Pay-as-you-go","1 GB","4.277","3/1/2020 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","5000","1/Day","14969.5031","6/1/2021 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","200","1/Day","684.3201","3/1/2020 12:00:00 AM"
"3/9/2023 3:36:05 PM","Azure Monitor","usgovarizona","AUD","2000","1/Day","6173.7578","6/1/2021 12:00:00 AM"
